IEA fossil fuel subsidies database;;;;;;;;;;;;;;;;
© 2025 IEA;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Unit: Real 2024 million USD;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Kuwait;Gas;2 254,4;2 016,3;2 225,4;1 968,9;1 270,8;1 403,3;1 060,1;1 224,0;1 676,7;968,4;770,7;2 662,7;6 589,4;2 866,3;2 526,0
Kuwait;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Kuwait;Total;8 205,1;8 293,2;8 025,2;8 637,0;8 648,4;8 423,6;7 582,9;6 989,4;7 640,3;5 716,2;3 801,5;9 234,2;19 046,6;9 022,5;7 982,9
Libya;Oil;3 878,6;2 997,8;4 019,2;4 134,0;4 120,0;2 283,0;2 021,3;2 368,3;2 676,0;2 423,7;1 880,5;5 380,4;6 002,6;5 661,9;5 545,9
Libya;Electricity;639,9;515,0;560,6;577,9;426,6;363,5;253,7;290,8;532,0;487,1;430,5;825,4;2 798,7;1 529,6;1 588,6
Libya;Gas;185,9;212,5;138,7;251,6;208,8;148,9;58,0;64,0;81,7;38,3;7,1;176,7;359,3;159,3;130,7
Libya;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Libya;Total;4 704,5;3 725,3;4 718,5;4 963,6;4 755,3;2 795,4;2 333,1;2 723,1;3 289,7;2 949,1;2 318,1;6 382,6;9 160,5;7 350,8;7 265,2
Malaysia;Oil;1 124,7;2 389,9;10 400,0;3 222,3;2 518,4;324,5;1 485,6;1 974,2;1 498,7;1 652,8;126,4;2 226,6;9 995,3;5 858,8;7 172,8
Malaysia;Electricity;727,8;621,6;523,7;186,5;-;-;-;-;240,4;-;-;-;2 366,3;-;281,1
Malaysia;Gas;8,8;5,3;1 779,7;1,7;-;-;-;-;-;-;-;-;1 517,4;460,4;829,8
Malaysia;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Malaysia;Total;1 861,3;3 016,7;12 703,4;3 410,4;2 518,4;324,5;1 485,6;1 974,2;1 739,0;1 652,8;126,4;2 226,6;13 879,0;6 319,2;8 283,6
Mexico;Oil;13 401,6;26 367,6;25 039,5;10 983,9;1 183,0;34,7;1 032,9;88,9;19,3;13,8;-;26,8;3 053,8;23,5;28,0
Mexico;Electricity;9 826,8;8 213,2;8 363,9;8 149,2;7 298,9;9 550,2;14 109,2;16 364,0;20 884,2;3 841,3;2 229,8;2 154,5;3 407,8;602,0;1 341,0
Mexico;Gas;-;827,5;1 192,6;1 313,3;-;-;-;-;-;-;-;-;115,4;18,0;-
Mexico;Coal;300,4;340,8;7,4;-;-;-;-;-;40,8;-;-;-;55,9;-;-
Mexico;Total;23 528,8;35 749,0;34 603,4;20 446,5;8 481,9;9 584,9;15 142,1;16 452,8;20 944,3;3 855,1;2 229,8;2 181,2;6 632,9;643,5;1 369,0
Nigeria;Oil;925,5;1 855,2;1 719,8;1 625,1;1 433,6;275,0;22,6;370,8;750,4;431,6;121,3;1 916,2;4 026,4;1 961,3;2 458,6
Nigeria;Electricity;-;20,2;39,4;70,0;-;-;-;33,0;139,3;4,4;-;29,0;1 549,5;476,4;1 054,0
Nigeria;Gas;18,5;157,5;129,0;137,2;36,4;-;-;-;1,6;-;-;39,7;1 120,4;383,4;577,6
Nigeria;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nigeria;Total;944,0;2 033,0;1 888,2;1 832,3;1 470,0;275,0;22,6;403,7;891,3;436,0;121,3;1 985,0;6 696,3;2 821,0;4 090,2
Oman;Oil;85,0;-;-;-;130,4;109,7;123,4;140,9;154,9;142,1;131,2;191,9;221,0;212,8;224,0
Oman;Electricity;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Oman;Gas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Oman;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Oman;Total;85,0;-;-;-;130,4;109,7;123,4;140,9;154,9;142,1;131,2;191,9;221,0;212,8;224,0
Pakistan;Oil;182,6;2 910,4;663,1;97,5;175,5;179,9;99,5;99,2;98,5;139,8;198,9;592,9;9 210,8;514,3;545,5
Pakistan;Electricity;2 412,3;2 397,1;2 899,3;2 613,7;2 325,9;701,2;260,4;1 654,4;2 352,3;1 035,3;-;1 650,2;7 371,1;1 965,5;1 532,6
Pakistan;Gas;5 895,7;6 468,7;7 450,2;5 412,1;4 240,3;2 090,3;1 195,7;1 394,2;2 791,4;1 770,3;47,0;5 401,4;10 137,3;7 446,8;5 204,0
Pakistan;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pakistan;Total;8 490,6;11 776,3;11 012,7;8 123,4;6 741,7;2 971,3;1 555,6;3 147,8;5 242,1;2 945,4;245,9;7 644,5;26 719,2;9 926,6;7 282,1
Qatar;Oil;1 825,2;2 439,3;2 123,9;2 419,3;2 058,0;736,9;347,6;504,4;415,1;350,0;211,5;552,9;1 443,4;914,2;636,1
