"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SUB_TYPE","FFS","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"IMF.STA:FFS(1.0.2)","CHL.IM.COA.USQ2021.A","OBS_VALUE","Chile","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","2.035350395","2.178616699","2.125476033","2.036665917","2.360456908","2.200762683","1.94181086","1.190589833","1.512179882","1.492060329","1.742274022","1.870440098","1.848098774","1.893923363","1.96682124","2.02101206","2.017772332","2.012911677","2.004484486","1.992387454","1.976386298"
"IMF.STA:FFS(1.0.2)","BRA.IM.COA.USQ2021.A","OBS_VALUE","Brazil","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","5.441338247","5.032566683","5.601526469","5.37862487","5.250881082","4.812796989","6.175901401","9.438649583","9.759729028","9.775315726","9.977559026","9.597433027","9.124790378","8.789062973","8.496962727","8.236686581","8.298019489","8.369488894","8.442537965","8.518370269","8.594867151"
"IMF.STA:FFS(1.0.2)","AUT.IM.COA.USQ2021.A","OBS_VALUE","Austria","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.747328093","0.687801015","0.691264734","0.574162686","0.545091705","0.426365113","0.414602605","0.072368761","0.051790598","0.198835281","0.216435284","0.225791626","0.234187431","0.242023174","0.250282045","0.258448194","0.266619201","0.274927655","0.283198456","0.291411809","0.299573896"
"IMF.STA:FFS(1.0.2)","PAN.IM.COA.USQ2021.A","OBS_VALUE","Panama","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.021267174","0.019142722","0.005564578","0.014026332","0.056427051","0.058467329","0.057435687","0.211043906","0.231847254","0.301304152","0.414943006","0.472507492","0.518961547","0.543840356","0.562702306","0.581865148","0.585280206","0.588070136","0.5898053","0.598599673","0.606474636"
"IMF.STA:FFS(1.0.2)","NZL.IM.COA.USQ2021.A","OBS_VALUE","New Zealand","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.6780214","0.557803423","0.62488951","0.752009653","0.85720983","0.570355269","0.646618559","0.419384125","0.488399144","0.479176952","0.4792326","0.492654093","0.498934446","0.506594536","0.515770681","0.529301035","0.540514016","0.553246772","0.567021819","0.581622032","0.596891908"
"IMF.STA:FFS(1.0.2)","MEX.IM.COA.USQ2021.A","OBS_VALUE","Mexico","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","6.573122136","5.188565534","6.287710369","5.359696384","5.141673303","4.094224371","3.039295825","18.48775831","20.45819439","21.2310377","28.22980315","29.71034589","30.98076413","31.53816662","31.86905785","32.26178792","32.38339873","32.53875866","32.7901025","33.03934131","33.28650086"
"IMF.STA:FFS(1.0.2)","MLT.IM.COA.USQ2021.A","OBS_VALUE","Malta","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","PRY.IM.COA.USQ2021.A","OBS_VALUE","Paraguay","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.001111265","0.000553377","0.000402932","0.001595398","0.000506745","0.000228805","0.000255668","0.000262965","0.000264957","0.000299025","0.000332532","0.000345893","0.000358812","0.000374267","0.000390217","0.000406299","0.000421286","0.000436614","0.000452295","0.000468325","0.000484713"
"IMF.STA:FFS(1.0.2)","ROU.IM.COA.USQ2021.A","OBS_VALUE","Romania","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","5.19926951","4.613672986","4.776175603","4.798348461","4.300530058","3.338287592","3.804043274","1.889369537","1.819305894","2.74772627","2.592541219","2.701560906","2.880289764","3.011814935","3.232892126","3.518208435","3.445548571","3.368161962","3.318631273","3.337919993","3.353304482"
"IMF.STA:FFS(1.0.2)","SEN.IM.COA.USQ2021.A","OBS_VALUE","Senegal","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.101311443","0.126352455","0.094806802","0.124983361","0.126100868","0.108941135","0.162857573","0.166045135","0.183143723","0.225037741","0.354452858","0.405824756","0.44234465","0.464584959","0.487968758","0.517971298","0.534839841","0.547966301","0.561894587","0.576463504","0.591575162"
"IMF.STA:FFS(1.0.2)","SVN.IM.COA.USQ2021.A","OBS_VALUE","Slovenia, Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.365996977","0.396151713","0.408707073","0.388097585","0.331039743","0.303939235","0.285534211","0.020333211","0.020673976","0.098969125","0.115387541","0.107472185","0.105086388","0.102446523","0.095781386","0.093549446","0.089382689","0.04464924","0.033154748","0.03354484","0.033925097"
"IMF.STA:FFS(1.0.2)","SAU.IM.COA.USQ2021.A","OBS_VALUE","Saudi Arabia","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","JOR.IM.COA.USQ2021.A","OBS_VALUE","Jordan","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.070519863","0.090881506","0.06936964","0.088992625","0.093646546","0.075319193","0.080933914","0.085127111","0.088607988","0.09919332","0.109214005","0.113039811","0.117182292","0.122092871","0.127132358","0.132335533","0.137717048","0.143274498","0.148991618","0.154893929","0.16099885"
"IMF.STA:FFS(1.0.2)","MNG.IM.COA.USQ2021.A","OBS_VALUE","Mongolia","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","1.573599854","1.907399296","1.899255265","2.195368306","2.261218443","1.837168455","2.080075585","2.286273032","2.496036989","2.630648934","2.705205248","2.785909574","2.810090523","2.877653362","2.956789625","3.030593081","3.109629717","3.193428814","3.293654353","3.406963449","3.540894986"
"IMF.STA:FFS(1.0.2)","TCD.IM.COA.USQ2021.A","OBS_VALUE","Chad","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","KEN.IM.COA.USQ2021.A","OBS_VALUE","Kenya","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.090145674","0.091182242","0.087789184","0.135411323","0.122739124","0.174915943","0.209455793","0.218191764","0.218255657","0.248363871","0.279402241","0.294635051","0.309967718","0.327942375","0.346779913","0.366505028","0.387135891","0.408729611","0.431388457","0.454166469","0.476522269"
